,div,season,div_season_home_acc
0,div0,2008-2009,0.6022304832713755
1,div0,2009-2010,0.5851851851851851
2,div0,2010-2011,0.5666666666666667
3,div0,2011-2012,0.6037037037037037
4,div0,2012-2013,0.562962962962963
5,div0,2013-2014,0.6074074074074074
6,div0,2014-2015,0.6
7,div0,2015-2016,0.6037037037037037
8,div0,2016-2017,0.6
9,div0,2017-2018,0.5592592592592592
10,div0,2018-2019,0.6407407407407407
11,div0,2019-2020,0.5740740740740741
12,div0,2020-2021,0.6370370370370371
13,div0,2021-2022,0.6
14,div1,2008-2009,0.5870206489675516
15,div1,2009-2010,0.6538461538461539
16,div1,2010-2011,0.6058823529411764
17,div1,2011-2012,0.5929203539823009
18,div1,2012-2013,0.616519174041298
19,div1,2013-2014,0.6764705882352942
20,div1,2014-2015,0.611764705882353
21,div1,2015-2016,0.5647058823529412
22,div1,2016-2017,0.6735294117647059
23,div1,2017-2018,0.6264705882352941
24,div1,2018-2019,0.6352941176470588
25,div1,2019-2020,0.6088235294117647
26,div1,2020-2021,0.6183431952662722
27,div1,2021-2022,0.6588235294117647
28,div10,2017-2018,0.46296296296296297
29,div10,2018-2019,0.4684014869888476
30,div10,2019-2020,0.5222222222222223
31,div10,2020-2021,0.5762081784386617
32,div10,2021-2022,0.562962962962963
33,div11,2017-2018,0.49760765550239233
34,div11,2018-2019,0.5132450331125827
35,div11,2019-2020,0.5396341463414634
36,div11,2020-2021,0.5492537313432836
37,div11,2021-2022,0.5411764705882353
38,div12,2017-2018,0.6259259259259259
39,div12,2018-2019,0.674074074074074
40,div12,2019-2020,0.6994818652849741
41,div12,2020-2021,0.6753731343283582
42,div12,2021-2022,0.6245353159851301
43,div13,2017-2018,0.6444444444444445
44,div13,2018-2019,0.6259259259259259
45,div13,2019-2020,0.6222222222222222
46,div13,2020-2021,0.6319702602230484
47,div13,2021-2022,0.5703703703703704
48,div14,2017-2018,0.59375
49,div14,2018-2019,0.5125
50,div14,2019-2020,0.5213675213675214
51,div14,2020-2021,0.5964912280701754
52,div14,2021-2022,0.5786163522012578
53,div15,2017-2018,0.60625
54,div15,2018-2019,0.49375
55,div15,2019-2020,0.635593220338983
56,div15,2020-2021,0.6222222222222222
57,div15,2021-2022,0.6329113924050633
58,div16,2017-2018,0.625
59,div16,2018-2019,0.6981132075471698
60,div16,2019-2020,0.6239316239316239
61,div16,2020-2021,0.6477272727272727
62,div16,2021-2022,0.5605095541401274
63,div17,2017-2018,0.569377990430622
64,div17,2018-2019,0.5145888594164456
65,div17,2019-2020,0.45933014354066987
66,div17,2020-2021,0.5614457831325301
67,div17,2021-2022,0.5502392344497608
68,div18,2017-2018,0.6168582375478927
